"1,2.023756906077348,847.0,3"
"158,2.1547058823529412,124.5,1312"
"153,2.0812500000000003,181.5,1312"
"152,3.981521739130435,440.5,1312"
"150,5.635384615384615,1533.0,1312"
"82,3.8156250000000003,932.0,1312"
"158,2.1547058823529412,120.5,1311"
"153,2.035,179.0,1311"
"152,3.896808510638298,442.5,1311"
"150,5.635384615384615,1533.0,1311"
"82,3.8156250000000003,932.0,1311"
"166,8.325000000000001,102.0,1310"
"158,2.1547058823529412,119.5,1310"
"153,2.035,178.0,1310"
"152,3.938709677419355,443.5,1310"
"150,5.55,1533.0,1310"
"82,3.8156250000000003,932.0,1310"
"166,8.518604651162791,101.5,1309"
"158,2.1674556213017753,117.5,1309"
"153,2.057865168539326,176.0,1309"
"152,3.938709677419355,446.5,1309"
"150,5.55,1533.0,1309"
"82,3.8156250000000003,933.0,1309"
"166,8.518604651162791,101.0,1308"
"158,2.1934131736526945,114.5,1308"
"153,2.035,174.5,1308"
"152,4.025274725274725,448.5,1308"
"150,5.55,1533.0,1308"
"82,3.8156250000000003,932.5,1308"
"166,8.518604651162791,100.5,1307"
"158,2.1934131736526945,113.5,1307"
"153,2.023756906077348,173.5,1307"
"152,3.938709677419355,451.0,1307"
"150,5.55,1533.0,1307"
"82,3.8557894736842107,932.5,1307"
"166,8.518604651162791,100.0,1306"
"158,2.180357142857143,113.0,1306"
"153,2.023756906077348,171.5,1306"
"152,3.981521739130435,453.0,1306"
"150,5.467164179104477,1533.0,1306"
"166,8.518604651162791,99.0,1305"
"158,2.180357142857143,113.5,1305"
"153,2.035,172.0,1305"
"152,3.981521739130435,453.5,1305"
"150,5.467164179104477,1533.0,1305"
"166,8.518604651162791,99.5,1304"
"158,2.2066265060240964,113.0,1304"
"153,2.023756906077348,171.5,1304"
"152,3.981521739130435,453.5,1304"
"150,5.467164179104477,1533.0,1304"
"166,8.518604651162791,98.5,1303"
"163,4.522222222222222,525.5,1303"
"158,2.2066265060240964,112.5,1303"
"153,2.023756906077348,171.5,1303"
"152,4.025274725274725,454.5,1303"
"150,5.467164179104477,1533.0,1303"
"166,8.518604651162791,96.5,1302"
"163,4.522222222222222,525.5,1302"
"158,2.2066265060240964,112.0,1302"
"153,2.023756906077348,170.0,1302"
"152,4.210344827586207,456.5,1302"
"150,5.55,1533.0,1302"
"166,8.934146341463414,95.5,1301"
"163,4.522222222222222,525.5,1301"
"158,2.2335365853658535,111.0,1301"
"153,2.001639344262295,169.5,1301"
"152,4.210344827586207,459.5,1301"
"150,5.55,1533.0,1301"
"166,8.721428571428572,95.5,1300"
"163,4.522222222222222,525.5,1300"
"158,2.2335365853658535,111.5,1300"
"153,2.0126373626373626,170.0,1300"
"152,4.210344827586207,459.5,1300"
"150,5.55,1533.0,1300"
"166,8.721428571428572,95.5,1299"
"163,4.522222222222222,526.0,1299"
"158,2.2335365853658535,111.5,1299"
"153,2.0126373626373626,169.5,1299"
"152,4.210344827586207,459.5,1299"
"150,5.55,1533.0,1299"
"166,8.934146341463414,95.5,1298"
"163,4.467073170731707,526.0,1298"
"158,2.22,111.0,1298"
"153,2.0126373626373626,170.0,1298"
"152,4.210344827586207,459.5,1298"
"150,5.635384615384615,1533.0,1298"
"166,8.934146341463414,94.5,1297"
"163,4.413253012048193,526.5,1297"
"158,2.2066265060240964,110.0,1297"
"153,2.0126373626373626,170.0,1297"
"152,4.2593023255813955,460.5,1297"
"150,5.55,1533.0,1297"
"82,3.938709677419355,933.5,1297"
"163,4.413253012048193,527.0,1296"
"158,2.1674556213017753,108.5,1296"
"153,2.001639344262295,169.5,1296"
"152,4.3094117647058825,461.5,1296"
"150,5.635384615384615,1533.0,1296"
"82,3.938709677419355,934.0,1296"
"166,9.392307692307693,91.5,1295"
"163,4.413253012048193,531.0,1295"
"158,2.142105263157895,106.5,1295"
"153,2.001639344262295,168.0,1295"
"152,4.3094117647058825,464.5,1295"
"150,5.635384615384615,1533.0,1295"
"82,4.025274725274725,936.0,1295"
"166,8.934146341463414,91.0,1294"
"163,4.413253012048193,530.0,1294"
"158,2.1674556213017753,105.0,1294"
"153,2.035,164.5,1294"
"152,4.413253012048193,466.0,1294"
"150,5.635384615384615,1533.0,1294"
"166,9.1575,91.0,1293"
"158,2.1547058823529412,103.0,1293"
"153,2.0126373626373626,163.5,1293"
"152,4.360714285714286,467.5,1293"
"150,5.635384615384615,1533.0,1293"
"166,9.1575,90.5,1292"
"158,2.1547058823529412,103.0,1292"
"153,2.0126373626373626,163.5,1292"
"152,4.413253012048193,467.0,1292"
"150,5.635384615384615,1533.0,1292"
"158,2.142105263157895,102.5,1291"
"153,2.0126373626373626,162.5,1291"
"152,4.467073170731707,467.5,1291"
"150,5.7234375,1533.0,1291"
"166,8.721428571428572,91.5,1290"
"158,2.1051724137931034,102.0,1290"
"153,2.0126373626373626,161.0,1290"
"152,4.467073170731707,467.5,1290"
"150,5.635384615384615,1533.0,1290"
"166,8.325000000000001,90.5,1289"
"158,2.046368715083799,99.0,1289"
"153,2.0126373626373626,157.0,1289"
"152,4.522222222222222,469.5,1289"
"150,5.635384615384615,1532.5,1289"
"166,7.96304347826087,88.5,1288"
"163,4.360714285714286,533.5,1288"
"158,2.023756906077348,96.0,1288"
"153,2.001639344262295,154.0,1288"
"152,4.6367088607594935,470.0,1288"
"150,5.635384615384615,1532.5,1288"
"134,4.115730337078652,1836.0,1288"
"166,7.475510204081633,85.0,1287"
"163,4.413253012048193,532.5,1287"
"158,1.9693548387096775,90.5,1287"
"153,1.9907608695652175,150.0,1287"
"152,4.57875,471.5,1287"
"150,5.635384615384615,1532.5,1287"
"134,4.1625000000000005,1837.0,1287"
"166,7.182352941176471,84.5,1286"
"163,4.413253012048193,532.0,1286"
"158,1.9588235294117649,92.0,1286"
"153,2.001639344262295,149.0,1286"
"152,4.6367088607594935,471.0,1286"
"150,5.635384615384615,1533.0,1286"
"134,4.1625000000000005,1837.0,1286"
"163,4.467073170731707,531.0,1285"
"158,1.9078125000000001,95.0,1285"
"153,2.0126373626373626,146.5,1285"
"152,4.8197368421052635,472.0,1285"
"150,5.635384615384615,1533.0,1285"
"163,4.467073170731707,530.0,1284"
"158,1.8593908629441624,101.5,1284"
"153,1.9078125000000001,141.5,1284"
"152,4.57875,473.0,1284"
"150,5.635384615384615,1533.0,1284"
"163,4.522222222222222,528.5,1283"
"158,1.8593908629441624,103.5,1283"
